time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,interpolated
1675166339,39a1a4,48.75005043159096,2.109989367033306,2.5881863355154087,180.0,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166338.676,1675166338.676,1675162800,False
1675166340,39a1a4,48.75007370770987,2.109989367033306,2.5881863355154087,180.0,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166339.097,1675166339.097,1675162800,False
1675166341,39a1a4,48.75017845024497,2.110007436651932,11.721941320345863,-173.51068928109612,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166340.645,1675166340.645,1675162800,False
1675166342,39a1a4,48.7502482786017,2.110007436651932,7.764559004966053,180.0,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166341.685,1675166341.685,1675162800,False
1675166343,39a1a4,48.75030899047852,2.110026432917668,6.893016988102813,-168.34324266854486,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166342.658,1675166342.658,1675162800,False
1675166344,39a1a4,48.75037629725569,2.110025506270559,7.484480494701998,179.47991196023943,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166343.697,1675166343.697,1675162800,False
1675166345,39a1a4,48.75043487548828,2.11004403921274,6.653811856019405,-168.2169679145767,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166344.849,1675166344.849,1675162800,False
1675166346,39a1a4,48.75049267785024,2.110043575889186,6.427419160047077,179.69719232530628,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166345.671,1675166345.671,1675162800,False
1675166347,39a1a4,48.75052642822266,2.11004403921274,3.7530239142565054,-179.48140828055895,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166346.161,1675166346.161,1675162800,False
1675166348,39a1a4,48.75061798095703,2.110061645507812,10.261707743999901,-172.773689124456,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166347.797,1675166347.797,1675162800,False
1675166349,39a1a4,48.75067520141602,2.110061645507812,6.362624740125648,180.0,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166348.775,1675166348.775,1675162800,False
1675166350,39a1a4,48.75070216292042,2.110061645507812,2.9979825035605727,180.0,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166349.327,1675166349.327,1675162800,False
1675166351,39a1a4,48.7507836293366,2.110079715126439,9.15500940482977,-171.67982615317848,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166350.687,1675166350.687,1675162800,False
1675166352,39a1a4,48.75084181963387,2.110097784745065,6.604690855328471,-168.42911349801517,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166351.622,1675166351.622,1675162800,False
1675166353,39a1a4,48.75088837187169,2.110115854363692,5.3432053595283024,-165.6446424528778,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166352.668,1675166352.668,1675162800,False
1675166354,39a1a4,48.75093841552734,2.110149676983173,6.092097148530356,-155.98133255773408,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166353.534,1675166353.534,1675162800,False
1675166355,39a1a4,48.75099311440677,2.110206202456825,7.359856521001942,-145.73139156574604,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166354.705,1675166354.705,1675162800,False
1675166356,39a1a4,48.75100708007812,2.110237708458533,2.7833289225631623,-123.9129777594307,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166355.219,1675166355.219,1675162800,False
1675166357,39a1a4,48.75106430053711,2.110325739933894,9.062934535140188,-134.59159994703867,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166356.599,1675166356.599,1675162800,False
1675166358,39a1a4,48.7511100769043,2.110431377704327,9.267710008952418,-123.31413020700374,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166357.962,1675166357.962,1675162800,False
1675166359,39a1a4,48.75114440917969,2.110501802884615,6.421230829908758,-126.47866905570461,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166358.987,1675166358.987,1675162800,False
1675166360,39a1a4,48.75115585327148,2.110572228064904,5.317670837784824,-103.84527310430013,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166359.977,1675166359.977,1675162800,False
1675166361,39a1a4,48.75117932335805,2.110657942922491,6.80447953553836,-112.55277541233252,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166360.851,1675166360.851,1675162800,False
1675166362,39a1a4,48.75117932335805,2.110694082159745,2.6495188619225494,-89.99998640964242,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166361.29,1675166361.29,1675162800,False
1675166363,39a1a4,48.75120162963867,2.110801109900841,8.22933976639557,-107.54183188349103,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166362.595,1675166362.595,1675162800,False
1675166364,39a1a4,48.75120259947695,2.110838639108758,2.7535347727382034,-92.2445264028863,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166363.03,1675166363.03,1675162800,False
1675166365,39a1a4,48.75123596191406,2.11095956655649,9.610546067015235,-112.70619698708359,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166364.673,1675166364.673,1675162800,False
1675166366,39a1a4,48.75126078977423,2.111037404913651,6.339359193119076,-115.81649391070094,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166365.553,1675166365.553,1675162800,False
1675166367,39a1a4,48.75128406589314,2.111145822625411,8.359307755643023,-108.0361282443325,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166366.916,1675166366.916,1675162800,False
1675166368,39a1a4,48.75130462646484,2.111241267277644,7.361446680211773,-108.09344044853339,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166367.985,1675166367.985,1675162800,False
1675166369,39a1a4,48.75131607055664,2.111311692457932,5.317654852505262,-103.84531556959219,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166368.834,1675166368.834,1675162800,False
1675166370,39a1a4,48.75133061813096,2.111380727667557,5.313463361277062,-107.72428800622428,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166369.709,1675166369.709,1675162800,False
1675166371,39a1a4,48.75135040283203,2.111470149113582,6.915117614383277,-108.5502938467549,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166370.787,1675166370.787,1675162800,False
1675166372,39a1a4,48.75137717036878,2.111561423853824,7.323797574630612,-113.9790503333477,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166371.89,1675166371.89,1675162800,False
1675166373,39a1a4,48.75138880842823,2.111651771946957,6.749000680377755,-101.05465615916421,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166372.926,1675166372.926,1675162800,False
1675166374,39a1a4,48.75141906738281,2.111751849834735,8.071790402843584,-114.63518352191466,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166373.944,1675166373.944,1675162800,False
1675166375,39a1a4,48.75143536066604,2.111814398514597,4.930604084899442,-111.55816401342466,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166374.916,1675166374.916,1675162800,False
1675166376,39a1a4,48.75144195556641,2.111857487605168,3.243023127529726,-103.06885903017726,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166375.371,1675166375.371,1675162800,False
1675166377,39a1a4,48.75146484375,2.111980731670673,9.38708408329605,-105.73102793193863,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166376.826,1675166376.826,1675162800,False
1675166378,39a1a4,48.75148773193359,2.112086369441105,8.152158174224944,-108.19142445536211,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166378.0,1675166378.0,1675162800,False
1675166379,39a1a4,48.75149833761515,2.11215990694156,5.518781693484014,77.66139985652846,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166379.0,1675166379.0,1675162800,True
1675166380,39a1a4,48.75152206420898,2.112244826096755,6.7616801259005666,-112.96570955189055,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166379.965,1675166379.965,1675162800,False
1675166381,39a1a4,48.75154010320114,2.11228420859889,3.515647080186051,-124.78841365266861,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166380.46,1675166380.46,1675162800,False
1675166382,39a1a4,48.75154495239258,2.112332857572115,3.6071626307769966,-98.59688421175625,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166381.052,1675166381.052,1675162800,False
1675166383,39a1a4,48.7515750173795,2.11244683516653,9.000041352880151,-111.80508686022462,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166382.676,1675166382.676,1675162800,False
1675166384,39a1a4,48.7515750173795,2.112482974403783,2.649497996045831,-89.9999864095354,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166383.201,1675166383.201,1675162800,False
1675166385,39a1a4,48.75160217285156,2.112596951998197,8.884942742298005,-109.86771279076481,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166384.873,1675166384.873,1675162800,False
1675166386,39a1a4,48.75162506103516,2.112684983473557,6.937586724968905,-111.52141252935662,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166385.966,1675166385.966,1675162800,False
1675166387,39a1a4,48.75162506103516,2.112720196063702,2.5815595788193444,-89.99998676615971,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166386.411,1675166386.411,1675162800,False
1675166388,39a1a4,48.75165939331055,2.11279062124399,6.421188277823089,-126.47894979210128,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166387.804,1675166387.804,1675162800,False
1675166389,39a1a4,48.75167975991459,2.112826297157689,3.459721160572267,-130.88777052414125,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166388.704,1675166388.704,1675162800,False
1675166390,39a1a4,48.7517030360335,2.112862436394942,3.703851456830179,-134.32938633977383,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166389.755,1675166389.755,1675162800,False
1675166391,39a1a4,48.75173795021186,2.112898575632196,4.700201390756811,-145.68811559885722,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166390.717,1675166390.717,1675162800,False
1675166392,39a1a4,48.75177286439023,2.112916645250822,4.102077698506478,-161.15889168996415,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166391.736,1675166391.813,1675162800,False
1675166393,39a1a4,48.75180816650391,2.112931471604567,4.07313044786227,-164.5222968938565,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166392.8,1675166392.8,1675162800,False
1675166394,39a1a4,48.7518310546875,2.112913865309495,2.853660549150425,153.10720417918668,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166393.817,1675166393.817,1675162800,False
1675166395,39a1a4,48.75185394287109,2.112913865309495,2.5450498949441362,180.0,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166394.803,1675166394.803,1675162800,False
1675166396,39a1a4,48.75187110900878,2.1129050621619587,2.014942579978071,-18.681087358027085,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166395.803,1675166395.803,1675162800,True
1675166397,39a1a4,48.75188827514648,2.112896259014423,2.0149425093410858,161.31891195666225,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166396.951,1675166396.951,1675162800,False
1675166398,39a1a4,48.75191116333008,2.112896259014423,2.5450498965243114,180.0,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166397.959,1675166397.959,1675162800,False
1675166399,39a1a4,48.75191128216205,2.112896258255349,0.013213629379277409,-0.2413055827559469,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166398.959,1675166398.959,1675162800,True
1675166400,39a1a4,48.751911399314395,2.112896255986239,0.01302780873667399,-0.731644908973324,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166399.959,1675166399.959,1675166400,True
1675166401,39a1a4,48.75191151479646,2.112896252219261,0.012843989329281536,-1.2320574061634046,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166400.959,1675166400.959,1675166400,True
1675166402,39a1a4,48.75191162861758,2.112896246966583,0.012662187809087606,-1.7427832766420115,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166401.959,1675166401.959,1675166400,True
1675166403,39a1a4,48.75191174078708,2.1128962402403717,0.01248242373514221,-2.2640651155323495,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166402.959,1675166402.959,1675166400,True
1675166404,39a1a4,48.751911851314276,2.112896232052796,0.012304713264842598,-2.796150535774495,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166403.959,1675166403.959,1675166400,True
1675166405,39a1a4,48.75191196020853,2.1128962224160235,0.012129082589667177,-3.3392882289102728,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166404.959,1675166404.959,1675166400,True
1675166406,39a1a4,48.75191206747916,2.1128962113422216,0.011955546618945845,-3.8937313141168968,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166405.959,1675166405.959,1675166400,True
1675166407,39a1a4,48.7519121731355,2.1128961988435586,0.011784128723794637,-4.45973485734165,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166406.959,1675166406.959,1675166400,True
1675166408,39a1a4,48.751912277186875,2.1128961849322017,0.011614848912273082,-5.037556519518106,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166407.959,1675166407.959,1675166400,True
1675166409,39a1a4,48.75191237964263,2.1128961696203192,0.011447732478362138,-5.627453862383343,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166408.959,1675166408.959,1675166400,True
1675166410,39a1a4,48.75191248051209,2.112896152920079,0.011282798224830456,-6.229687115437387,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166409.959,1675166409.959,1675166400,True
1675166411,39a1a4,48.75191257980459,2.112896134843649,0.01112007259903237,-6.844517104019184,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166410.959,1675166410.959,1675166400,True
1675166412,39a1a4,48.751912677529454,2.1128961154031956,0.010959577136924763,-7.472203850001843,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166411.959,1675166411.959,1675166400,True
1675166413,39a1a4,48.75191277369602,2.112896094610888,0.01080133783258161,-8.113004324221157,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166412.959,1675166412.959,1675166400,True
1675166414,39a1a4,48.75191286831363,2.1128960724788945,0.010645380474743685,-8.76717651863617,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166413.959,1675166413.959,1675166400,True
1675166415,39a1a4,48.751912961391604,2.1128960490193816,0.010491727502676622,-9.434977137341203,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166414.959,1675166414.959,1675166400,True
1675166416,39a1a4,48.75191305293927,2.112896024244517,0.010340407324764307,-10.116655709303366,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166415.959,1675166415.959,1675166400,True
1675166417,39a1a4,48.75191314296598,2.11289599816647,0.01019144729673134,-10.812455085317902,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166416.959,1675166416.959,1675166400,True
1675166418,39a1a4,48.751913231481055,2.112895970797407,0.010044872180958248,-11.522619516496876,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166417.959,1675166417.959,1675166400,True
1675166419,39a1a4,48.75191331849382,2.112895942149496,0.009900710280411378,-12.247383136479181,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166418.959,1675166418.959,1675166400,True
1675166420,39a1a4,48.751913404013614,2.1128959122349054,0.00975899033476521,-12.986966131144314,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166419.959,1675166419.959,1675166400,True
1675166421,39a1a4,48.75191348804978,2.112895881065803,0.0096197414397715,-13.741581503094434,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166420.959,1675166420.959,1675166400,True
1675166422,39a1a4,48.751913570611634,2.1128958486543556,0.009482989243648075,-14.511442504776737,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166421.959,1675166421.959,1675166400,True
1675166423,39a1a4,48.75191365170851,2.112895815012732,0.009348765001676468,-15.296729192181987,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166422.959,1675166422.959,1675166400,True
1675166424,39a1a4,48.751913731349745,2.1128957801531,0.009217097172119597,-16.097619108149868,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166423.959,1675166423.959,1675166400,True
1675166425,39a1a4,48.751913809544675,2.112895744087627,0.009088016664493721,-16.914271644582787,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166424.959,1675166424.959,1675166400,True
1675166426,39a1a4,48.75191388630263,2.1128957068284806,0.008961551451215206,-17.74682539693738,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166425.959,1675166425.959,1675166400,True
1675166427,39a1a4,48.75191396163294,2.112895668387829,0.00883773025915491,-18.595401028983044,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166426.959,1675166426.959,1675166400,True
1675166428,39a1a4,48.75191403554493,2.11289562877784,0.008716584045422688,-19.460092043206203,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166427.959,1675166427.959,1675166400,True
1675166429,39a1a4,48.751914108047956,2.1128955880106814,0.00859814354039911,-20.340965311210365,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166428.959,1675166428.959,1675166400,True
1675166430,39a1a4,48.75191417915132,2.1128955460985206,0.008482432574032932,-21.238078956165616,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166429.959,1675166429.959,1675166400,True
1675166431,39a1a4,48.751914248864374,2.112895503053526,0.008369484906431591,-22.151427731836435,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166430.959,1675166430.959,1675166400,True
1675166432,39a1a4,48.75191431719644,2.112895458887865,0.008259325724220347,-23.081013420868004,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166431.959,1675166431.959,1675166400,True
1675166433,39a1a4,48.75191438415686,2.1128954136137055,0.008151985407455292,-24.026768337177668,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166432.959,1675166432.959,1675166400,True
1675166434,39a1a4,48.75191444975496,2.1128953672432154,0.008047487016421422,-24.988607970503352,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166433.959,1675166433.959,1675166400,True
1675166435,39a1a4,48.751914514000084,2.1128953197885623,0.00794585921954604,-25.96641644287511,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166434.959,1675166434.959,1675166400,True
1675166436,39a1a4,48.75191457690155,2.1128952712619142,0.007847124556888085,-26.96001619321179,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166435.959,1675166435.959,1675166400,True
1675166437,39a1a4,48.75191463846868,2.112895221675439,0.007751307221861449,-27.96920121901951,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166436.959,1675166436.959,1675166400,True
1675166438,39a1a4,48.75191469871084,2.1128951710413038,0.007658431342628288,-28.99371326910403,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166437.959,1675166437.959,1675166400,True
1675166439,39a1a4,48.751914757637344,2.1128951193716774,0.007568514558926034,-30.033256848906532,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166438.959,1675166438.959,1675166400,True
1675166440,39a1a4,48.75191481525751,2.112895066678727,0.007481574970593141,-31.08749197510249,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166439.959,1675166439.959,1675166400,True
1675166441,39a1a4,48.751914871580695,2.1128950129746205,0.00739763403682983,-32.1560055489025,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166440.959,1675166440.959,1675166400,True
1675166442,39a1a4,48.751914926616216,2.112894958271526,0.007316700986172136,-33.238357376561694,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166441.959,1675166441.959,1675166400,True
1675166443,39a1a4,48.751914980373414,2.1128949025816106,0.007238791511921586,-34.33405678762137,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166442.959,1675166442.959,1675166400,True
1675166444,39a1a4,48.7519150328616,2.112894845917043,0.007163912760584453,-35.44255620260007,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166443.959,1675166443.959,1675166400,True
1675166445,39a1a4,48.75191508409014,2.11289478828999,0.007092075802465412,-36.56324609715805,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166444.959,1675166444.959,1675166400,True
1675166446,39a1a4,48.751915134068355,2.1128947297126204,0.007023281648547593,-37.69548870335343,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166445.959,1675166445.959,1675166400,True
1675166447,39a1a4,48.75191518280557,2.112894670197101,0.00695753229293311,-38.83859646450288,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166446.959,1675166446.959,1675166400,True
1675166448,39a1a4,48.7519152303111,2.1128946097556005,0.006894824608073054,-39.99183179623726,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166447.959,1675166447.959,1675166400,True
1675166449,39a1a4,48.75191527659432,2.112894548400287,0.006835158203204982,-41.15436479170582,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166448.959,1675166448.959,1675166400,True
1675166450,39a1a4,48.75191532166452,2.1128944861433268,0.006778517913618938,-42.32542582044665,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166449.959,1675166449.959,1675166400,True
1675166451,39a1a4,48.75191536553107,2.112894422996889,0.006724897356511023,-43.50408899229206,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166450.959,1675166450.959,1675166400,True
1675166452,39a1a4,48.75191540820327,2.112894358973141,0.0066742755083809314,-44.6894938010199,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166451.959,1675166451.959,1675166400,True
1675166453,39a1a4,48.751915449690465,2.1128942940842497,0.006626636809551559,-45.8806852350401,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166452.959,1675166452.959,1675166400,True
1675166454,39a1a4,48.751915490002,2.112894228342385,0.00658195660600481,-47.076664654389454,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166453.959,1675166453.959,1675166400,True
1675166455,39a1a4,48.75191552914719,2.1128941617597126,0.006540206804424364,-48.276497886291224,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166454.959,1675166454.959,1675166400,True
1675166456,39a1a4,48.75191556713537,2.1128940943484014,0.006501356843164422,-49.47914541205062,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166455.959,1675166455.959,1675166400,True
1675166457,39a1a4,48.75191560397588,2.112894026120619,0.006465372972808689,-50.683571888305295,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166456.959,1675166456.959,1675166400,True
1675166458,39a1a4,48.751915639678046,2.112893957088533,0.006432215063320202,-51.88876835527765,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166457.959,1675166457.959,1675166400,True
1675166459,39a1a4,48.75191567425121,2.112893887264312,0.006401842311435115,-53.09367689896994,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166458.959,1675166458.959,1675166400,True
1675166460,39a1a4,48.751915707704676,2.1128938166601223,0.006374206535180648,-54.29730205210551,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166459.959,1675166459.959,1675166400,True
1675166461,39a1a4,48.751915740047814,2.112893745288133,0.006349261932312233,-55.498560500132406,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166460.959,1675166460.959,1675166400,True
1675166462,39a1a4,48.75191577128994,2.112893673160512,0.0063269526056168165,-56.696485696035936,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166461.959,1675166461.959,1675166400,True
1675166463,39a1a4,48.751915801440376,2.112893600289426,0.006307223564661548,-57.89006632091104,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166462.959,1675166462.959,1675166400,True
1675166464,39a1a4,48.751915830508466,2.1128935266870434,0.00629001616173336,-59.078331462957145,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166463.959,1675166463.959,1675166400,True
1675166465,39a1a4,48.75191585850354,2.112893452365532,0.00627526823555557,-60.260324917090855,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166464.959,1675166464.959,1675166400,True
1675166466,39a1a4,48.75191588543494,2.1128933773370595,0.006262916392345145,-61.4351229144816,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166465.959,1675166465.959,1675166400,True
1675166467,39a1a4,48.751915911311976,2.112893301613794,0.006252891159584044,-62.60190114155572,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166466.959,1675166466.959,1675166400,True
1675166468,39a1a4,48.751915936143995,2.112893225207903,0.00624512611331073,-63.75976595306002,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166467.959,1675166467.959,1675166400,True
1675166469,39a1a4,48.751915959940334,2.1128931481315547,0.006239549437490555,-64.90791268480608,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166468.959,1675166468.959,1675166400,True
1675166470,39a1a4,48.751915982710315,2.112893070396916,0.006236087810952845,-66.04564426342861,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166469.959,1675166469.959,1675166400,True
1675166471,39a1a4,48.751916004463276,2.112892992016156,0.0062346676107748475,-67.1722064106973,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166470.959,1675166470.959,1675166400,True
1675166472,39a1a4,48.75191602520854,2.112892913001441,0.006235212978165549,-68.28696222138761,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166471.959,1675166471.959,1675166400,True
1675166473,39a1a4,48.75191604495544,2.1128928333649406,0.006237648278302789,-69.38929337201927,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166472.959,1675166472.959,1675166400,True
1675166474,39a1a4,48.75191606371334,2.112892753118821,0.006241896472922129,-70.47862941073794,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166473.959,1675166473.959,1675166400,True
1675166475,39a1a4,48.75191608149153,2.1128926722752506,0.006247878517568712,-71.55448943112239,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166474.959,1675166474.959,1675166400,True
1675166476,39a1a4,48.75191609829936,2.112892590846397,0.006255517806464023,-72.61640328327393,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166475.959,1675166475.959,1675166400,True
1675166477,39a1a4,48.75191611414616,2.112892508844429,0.006264735819757989,-73.66396657889834,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166476.959,1675166476.959,1675166400,True
1675166478,39a1a4,48.75191612904128,2.112892426281513,0.006275455135536174,-74.69680799865193,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166477.959,1675166477.959,1675166400,True
1675166479,39a1a4,48.75191614299402,2.1128923431698174,0.006287597365453294,-75.71463245937466,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166478.959,1675166478.959,1675166400,True
1675166480,39a1a4,48.751916156013735,2.1128922595215105,0.006301086120584872,-76.71715987664004,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166479.959,1675166479.959,1675166400,True
1675166481,39a1a4,48.75191616810975,2.112892175348759,0.0063158447254303175,-77.70419032822907,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166480.959,1675166480.959,1675166400,True
1675166482,39a1a4,48.7519161792914,2.1128920906637316,0.0063317974405595594,-78.67553800434014,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166481.959,1675166481.959,1675166400,True
1675166483,39a1a4,48.751916189568014,2.1128920054785962,0.0063488697684084576,-79.63105880300093,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166482.959,1675166482.959,1675166400,True
1675166484,39a1a4,48.751916198948926,2.11289191980552,0.006366987999320039,-80.57066963776835,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166483.959,1675166483.959,1675166400,True
1675166485,39a1a4,48.75191620744347,2.112891833656671,0.006386079756541239,-81.49430552113452,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166484.959,1675166484.959,1675166400,True
1675166486,39a1a4,48.75191621506098,2.1128917470442166,0.006406073806728569,-82.40195174068579,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166485.959,1675166485.959,1675166400,True
1675166487,39a1a4,48.75191622181078,2.112891659980326,0.006426900191434944,-83.29360096183676,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166486.959,1675166486.959,1675166400,True
1675166488,39a1a4,48.75191622770221,2.112891572477165,0.006448490851376542,-84.1693138542133,0.0,FHINE,True,True,True,NaN,22.86,205.74,1675166487.959,1675166487.959,1675166400,True
